End Station,End Latitude,End Longitude,Total Trips Ended
1 Ave & E 110 St,40.7923272,-73.9383,10451
1 Ave & E 16 St,40.73221853,-73.98165557,49493
1 Ave & E 18 St,40.73381219,-73.98054421,39268
1 Ave & E 30 St,40.74144387,-73.97536082,26096
1 Ave & E 39 St,40.74714,-73.97113,12800
1 Ave & E 44 St,40.75001986,-73.96905301,18730
1 Ave & E 5 St,40.725864,-73.986389,15488
1 Ave & E 62 St,40.7612274,-73.96094022,36764
1 Ave & E 68 St,40.76500525,-73.95818491,56925
1 Ave & E 78 St,40.77140426,-73.9535166,35926
1 Ave & E 94 St,40.7817212,-73.94594,13513
1 Pl & Clinton St,40.6809591,-73.99905709,6467
10 Ave & W 28 St,40.75066386,-74.00176802,41005
10 Hudson Yards,40.752957,-74.00264,1331
10 St & 2 Ave,40.671907,-73.993612,2227
10 St & 5 Ave,40.6686273,-73.98700053,4778
10 St & 7 Ave,40.6662078,-73.98199886,6241
11 Ave & W 27 St,40.751396,-74.005226,40589
11 Ave & W 41 St,40.76030096,-73.99884222,41907
11 Ave & W 59 St,40.77149671,-73.99046034,34481
11 St & 35 Ave,40.7627442,-73.9391141,933
11 St & 43 Ave,40.7519071,-73.9479119,2560
12 Ave & W 125 St,40.818299,-73.960405,11472
12 Ave & W 40 St,40.76087502,-74.00277668,74223
12 St & 4 Ave,40.668603,-73.9904394,2230
14 St & 5 Ave,40.666287,-73.98895053,9035
14 St & 7 Ave,40.663779,-73.98396846,7663
19 St & 24 Ave,40.7774552,-73.9225403,5852
2 Ave & 36 St,40.65708867,-74.00870204,3959
2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708867,-74.00870204,1755
2 Ave & E 104 St,40.7892105,-73.94370784,9635
2 Ave & E 122 St,40.8006721,-73.9349,4443
2 Ave & E 125 St,40.802554,-73.933509,3397
2 Ave & E 31 St,40.74290902,-73.97706058,40787
2 Ave & E 72 St,40.76876203,-73.95840794,26929
2 Ave & E 96 St,40.7839636,-73.9471673,19756
2 Ave & E 99 St,40.7862586,-73.94552579,7379
21 St & 31 Dr,40.7659,-73.930819,5459
21 St & 36 Ave,40.7601853,-73.9362726,2421
21 St & 38 Ave,40.7576314,-73.9391224,1295
21 St & 43 Ave,40.75052534,-73.94594845,2655
21 St & Hoyt Ave S,40.774645,-73.923706,5525
21 St & Queens Plaza North,40.75325964,-73.94335788,6424
23 Ave & 27 St,40.776165,-73.9153175,2741
24 Ave & 26 St,40.774591,-73.918544,3157
24 Ave & 29 St,40.7729,-73.916142,3661
24 St & 41 Ave,40.752474,-73.939991,2403
24 St & 41 Ave,40.7527085,-73.9397405,1927
27 Ave & 3 St,40.77485,-73.9342,1690
27 Ave & 4 St,40.7747175,-73.9337894,193
27 Ave & 9 St,40.7739825,-73.9309134,3693
27 St & Hunter St,40.7485,-73.941275,7702
28 Ave & 35 St,40.7671,-73.9169858,6504
28 Ave & 44 St,40.76408932,-73.91065121,3528
28 St & 36 Ave,40.757186,-73.932719,3651
28 St & 38 Ave,40.754876,-73.934326,1652
28 St & 41 Ave,40.751047,-73.93797,7795
3 Ave & 14 St,40.6685455,-73.99333264,4309
