Trip Year,Trip Month,Start Station,Start Latitude,Start Longitude,Total Trips Started
2019,August,1 Ave & E 110 St,40.7923272,-73.9383,1609
2019,August,1 Ave & E 16 St,40.73221853,-73.98165557,8854
2019,August,1 Ave & E 18 St,40.73381219,-73.98054421,6289
2019,August,1 Ave & E 30 St,40.74144387,-73.97536082,4352
2019,August,1 Ave & E 44 St,40.75001986,-73.96905301,4161
2019,August,1 Ave & E 62 St,40.7612274,-73.96094022,5393
2019,August,1 Ave & E 68 St,40.76500525,-73.95818491,6654
2019,August,1 Ave & E 78 St,40.77140426,-73.9535166,5076
2019,August,1 Ave & E 94 St,40.7817212,-73.94594,1665
2019,August,1 Pl & Clinton St,40.6809591,-73.99905709,964
2019,August,10 Ave & W 28 St,40.75066386,-74.00176802,8008
2019,August,10 Hudson Yards,40.752957,-74.00264,465
2019,August,10 St & 2 Ave,40.671907,-73.993612,403
2019,August,10 St & 5 Ave,40.6686273,-73.98700053,865
2019,August,10 St & 7 Ave,40.6662078,-73.98199886,1061
2019,August,11 Ave & W 27 St,40.751396,-74.005226,8330
2019,August,11 Ave & W 41 St,40.76030096,-73.99884222,6849
2019,August,11 Ave & W 59 St,40.77149671,-73.99046034,6060
2019,August,11 St & 35 Ave,40.7627442,-73.9391141,133
2019,August,11 St & 43 Ave,40.7519071,-73.9479119,329
2019,August,12 Ave & W 40 St,40.76087502,-74.00277668,13435
2019,August,12 St & 4 Ave,40.668603,-73.9904394,639
2019,August,14 St & 5 Ave,40.666287,-73.98895053,1445
2019,August,14 St & 7 Ave,40.663779,-73.98396846,1212
2019,August,19 St & 24 Ave,40.7774552,-73.9225403,1034
2019,August,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708867,-74.00870204,656
2019,August,2 Ave & E 104 St,40.7892105,-73.94370784,1422
2019,August,2 Ave & E 122 St,40.8006721,-73.9349,762
2019,August,2 Ave & E 31 St,40.74290902,-73.97706058,6269
2019,August,2 Ave & E 72 St,40.76876203,-73.95840794,3124
2019,August,2 Ave & E 96 St,40.7839636,-73.9471673,2952
2019,August,2 Ave & E 99 St,40.7862586,-73.94552579,1009
2019,August,21 St & 31 Dr,40.7659,-73.930819,751
2019,August,21 St & 36 Ave,40.7601853,-73.9362726,206
2019,August,21 St & 38 Ave,40.7576314,-73.9391224,215
2019,August,21 St & 43 Ave,40.75052534,-73.94594845,453
2019,August,21 St & Hoyt Ave S,40.774645,-73.923706,587
2019,August,21 St & Queens Plaza North,40.75325964,-73.94335788,1106
2019,August,23 Ave & 27 St,40.776165,-73.9153175,436
2019,August,24 Ave & 26 St,40.774591,-73.918544,685
2019,August,24 Ave & 29 St,40.7729,-73.916142,635
2019,August,24 St & 41 Ave,40.7527085,-73.9397405,670
2019,August,27 Ave & 4 St,40.7747175,-73.9337894,189
2019,August,27 Ave & 9 St,40.7739825,-73.9309134,538
2019,August,27 St & Hunter St,40.7485,-73.941275,1061
2019,August,28 Ave & 35 St,40.7671,-73.9169858,828
2019,August,28 Ave & 44 St,40.76408932,-73.91065121,886
2019,August,28 St & 36 Ave,40.757186,-73.932719,555
2019,August,28 St & 38 Ave,40.754876,-73.934326,601
2019,August,28 St & 41 Ave,40.751047,-73.93797,1325
2019,August,3 Ave & 14 St,40.6685455,-73.99333264,583
2019,August,3 Ave & Carroll St,40.677027,-73.9865,705
2019,August,3 Ave & E 100 St,40.7877214,-73.94728331,522
2019,August,3 Ave & E 112 St,40.795508,-73.941606,501
2019,August,3 Ave & E 62 St,40.76312584,-73.96526895,2394
2019,August,3 Ave & E 71 St,40.76873687,-73.96119945,863
2019,August,3 Ave & E 72 St,40.7699426,-73.96060712,1146
2019,August,3 Ave & E 95 St,40.7845968,-73.94968539,1179
2019,August,3 Ave & Schermerhorn St,40.68683208,-73.9796772,1918
2019,August,3 St & 3 Ave,40.6750705,-73.98775226,1409
2019,August,3 St & 7 Ave,40.6703837,-73.97839676,1412
2019,August,3 St & Hoyt St,40.6777287,-73.99364123,766
2019,August,3 St & Prospect Park West,40.668132,-73.97363831,1896
2019,August,30 Ave & 21 St,40.7703743,-73.9286078,535
2019,August,31 Ave & 14 St,40.7682,-73.9322662,384
2019,August,31 Ave & 30 St,40.7647,-73.9240312,654
2019,August,31 Ave & 34 St,40.763154,-73.920827,1313
2019,August,31 Ave & Crescent St,40.7658346,-73.9265474,841
2019,August,31 Ave & Steinway St,40.7612939,-73.91691685,1069
2019,August,31 St & 23 Ave,40.7747878,-73.9125551,2452
2019,August,31 St & Astoria Blvd,40.7699176,-73.9184057,967
2019,August,31 St & Broadway,40.761584,-73.925921,2178
2019,August,31 St & Hoyt Ave N,40.7711528,-73.9170074,439
2019,August,31 St & Newtown Ave,40.76754878,-73.92093346,2483
2019,August,31 St & Northern Blvd,40.75186951,-73.9334929,568
2019,August,31 St & Thomson Ave,40.74469738,-73.93540375,536
2019,August,34 Ave & 13 St,40.7638753,-73.9364848,243
2019,August,34 Ave & 21 St,40.7628138,-73.9342862,339
2019,August,34 Ave & 38 St,40.756913,-73.921631,1736
2019,August,34 St & 35 Ave,40.7569332,-73.9262231,560
2019,August,35 Ave & 10 St,40.76315482,-73.9398551,497
2019,August,35 Ave & 37 St,40.7557327,-73.9236611,712
2019,August,35 St & 34 Ave,40.7580583,-73.9242751,492
2019,August,35 St & Broadway,40.760339,-73.9222427,725
2019,August,36 Ave & 10 St,40.7614376,-73.9411265,565
2019,August,36 Ave & 31 St,40.75651273,-73.92957486,1001
2019,August,37 Ave & 35 St,40.7531106,-73.9279917,590
2019,August,37 St & 24 Ave,40.7701477,-73.9120938,519
2019,August,39 St & 2 Ave - Citi Bike HQ at Industry City,40.65539977,-74.01062787,369
2019,August,4 Ave & 9 St,40.6705135,-73.98876585,1139
2019,August,40 Ave & 9 St,40.75742,-73.945133,487
2019,August,40 Ave & Crescent St,40.7535992,-73.93795609,276
2019,August,43 St & Broadway,40.7577284,-73.9166368,726
2019,August,44 Dr & 21 St,40.748,-73.9460927,1393
2019,August,44 Dr & Jackson Ave,40.74718234,-73.9432635,1952
2019,August,45 Rd & 11 St,40.74708586,-73.94977234,1453
2019,August,46 Ave & 5 St,40.74731,-73.95451,2165
2019,August,47 Ave & 31 St,40.743,-73.93561,567
2019,August,47 Ave & Skillman Ave,40.74375241,-73.94176483,245
2019,August,48 Ave & 30 Pl,40.74128309,-73.93725872,259
2019,August,48 Ave & 5 St,40.74436329,-73.95587325,505
2019,August,49 Ave & 21 St,40.74252,-73.948852,632
2019,August,5 Ave & 3 St,40.6728155,-73.98352355,2004
2019,August,5 Ave & E 103 St,40.7922553,-73.95249933,3011
2019,August,5 Ave & E 126 St,40.80698,-73.941747,825
2019,August,5 Ave & E 29 St,40.7451677,-73.98683077,6425
2019,August,5 Ave & E 63 St,40.766368,-73.971518,3106
2019,August,5 Ave & E 73 St,40.77282817,-73.96685276,7154
2019,August,5 Ave & E 78 St,40.77632142,-73.96427393,5259
2019,August,5 Ave & E 88 St,40.78307,-73.95939,7329
2019,August,5 Ave & E 93 St,40.7857851,-73.957481,2402
2019,August,5 St & 51 Ave,40.7423737,-73.9566,522
2019,August,5 St & 6 Ave,40.6704836,-73.98208968,546
2019,August,5 St & Market St,40.69999748,-73.97440128,410
2019,August,6 Ave & 12 St,40.6663181,-73.9854617,688
2019,August,6 Ave & 9 St,40.668127,-73.98377641,1197
2019,August,6 Ave & Broome St,40.72430832,-74.00473036,6008
2019,August,6 Ave & Canal St,40.72243797,-74.00566443,6288
2019,August,6 Ave & W 33 St,40.74901271,-73.98848395,9899
2019,August,6 Ave & W 34 St,40.74964,-73.98805,3935
2019,August,6 St & 7 Ave,40.6686627,-73.97988067,784
2019,August,7 Ave & Central Park South,40.76674056,-73.97906899,6765
2019,August,7 Ave & Park Pl,40.6776147,-73.97324283,2353
2019,August,7 St & 3 Ave,40.67260298,-73.98983002,761
2019,August,7 St & 5 Ave,40.6704922,-73.98541675,1008
2019,August,8 Ave & W 31 St,40.75058535,-73.99468482,12871
2019,August,8 Ave & W 33 St,40.751551,-73.993934,9717
2019,August,8 Ave & W 52 St,40.76370739,-73.9851615,5990
2019,August,9 Ave & W 18 St,40.74317449,-74.00366443,5817
2019,August,9 Ave & W 22 St,40.7454973,-74.00197139,6368
