Trip Year,Trip Month,Start Station,Average Trip Duration in Seconds,Trip Duration in Minutes 
2019,August,1 Ave & E 110 St,1170.06,20
2019,August,1 Ave & E 16 St,757.8,13
2019,August,1 Ave & E 18 St,730.21,12
2019,August,1 Ave & E 30 St,768.09,13
2019,August,1 Ave & E 44 St,1559.07,26
2019,August,1 Ave & E 62 St,979.42,16
2019,August,1 Ave & E 68 St,941.31,16
2019,August,1 Ave & E 78 St,893.25,15
2019,August,1 Ave & E 94 St,1000.9,17
2019,August,1 Pl & Clinton St,727.49,12
2019,August,10 Ave & W 28 St,823.27,14
2019,August,10 Hudson Yards,916.55,15
2019,August,10 St & 2 Ave,808.51,13
2019,August,10 St & 5 Ave,817.02,14
2019,August,10 St & 7 Ave,736.78,12
2019,August,11 Ave & W 27 St,961.23,16
2019,August,11 Ave & W 41 St,983.11,16
2019,August,11 Ave & W 59 St,1080.2,18
2019,August,11 St & 35 Ave,1768.79,29
2019,August,11 St & 43 Ave,1174.67,20
2019,August,12 Ave & W 40 St,1341.67,22
2019,August,12 St & 4 Ave,1048.31,17
2019,August,14 St & 5 Ave,1046.73,17
2019,August,14 St & 7 Ave,934.42,16
2019,August,19 St & 24 Ave,858.21,14
2019,August,2 Ave & 36 St - Citi Bike HQ at Industry City,1721.58,29
2019,August,2 Ave & E 104 St,761.45,13
2019,August,2 Ave & E 122 St,1062.01,18
2019,August,2 Ave & E 31 St,1256.31,21
2019,August,2 Ave & E 72 St,889.29,15
2019,August,2 Ave & E 96 St,1311.65,22
2019,August,2 Ave & E 99 St,765.69,13
2019,August,21 St & 31 Dr,1593.16,27
2019,August,21 St & 36 Ave,3841.46,64
2019,August,21 St & 38 Ave,1334.38,22
2019,August,21 St & 43 Ave,1006.27,17
2019,August,21 St & Hoyt Ave S,895.7,15
2019,August,21 St & Queens Plaza North,871.17,15
2019,August,23 Ave & 27 St,881.02,15
2019,August,24 Ave & 26 St,721.28,12
2019,August,24 Ave & 29 St,1063.42,18
2019,August,24 St & 41 Ave,1042.72,17
2019,August,27 Ave & 4 St,954.5,16
2019,August,27 Ave & 9 St,1039.85,17
2019,August,27 St & Hunter St,1265.21,21
2019,August,28 Ave & 35 St,958.18,16
2019,August,28 Ave & 44 St,809.58,13
2019,August,28 St & 36 Ave,852.65,14
2019,August,28 St & 38 Ave,717.63,12
2019,August,28 St & 41 Ave,877.65,15
2019,August,3 Ave & 14 St,984.87,16
2019,August,3 Ave & Carroll St,875.9,15
2019,August,3 Ave & E 100 St,912.68,15
2019,August,3 Ave & E 112 St,1049.53,17
2019,August,3 Ave & E 62 St,898.38,15
2019,August,3 Ave & E 71 St,969.76,16
2019,August,3 Ave & E 72 St,937.22,16
2019,August,3 Ave & E 95 St,782.82,13
2019,August,3 Ave & Schermerhorn St,873.79,15
2019,August,3 St & 3 Ave,771.7,13
2019,August,3 St & 7 Ave,1791.47,30
2019,August,3 St & Hoyt St,726.56,12
2019,August,3 St & Prospect Park West,1160.2,19
2019,August,30 Ave & 21 St,819.04,14
2019,August,31 Ave & 14 St,797.5,13
2019,August,31 Ave & 30 St,960.89,16
2019,August,31 Ave & 34 St,797.95,13
2019,August,31 Ave & Crescent St,726.15,12
2019,August,31 Ave & Steinway St,718.71,12
2019,August,31 St & 23 Ave,694.52,12
2019,August,31 St & Astoria Blvd,762.61,13
2019,August,31 St & Broadway,900.09,15
2019,August,31 St & Hoyt Ave N,912.39,15
2019,August,31 St & Newtown Ave,534.87,9
2019,August,31 St & Northern Blvd,1065.81,18
2019,August,31 St & Thomson Ave,1308.18,22
2019,August,34 Ave & 13 St,721.58,12
2019,August,34 Ave & 21 St,786.12,13
2019,August,34 Ave & 38 St,898.85,15
2019,August,34 St & 35 Ave,628.48,10
2019,August,35 Ave & 10 St,662.45,11
2019,August,35 Ave & 37 St,1042.47,17
2019,August,35 St & 34 Ave,745.97,12
2019,August,35 St & Broadway,715.21,12
2019,August,36 Ave & 10 St,1072.3,18
2019,August,36 Ave & 31 St,686.11,11
2019,August,37 Ave & 35 St,1034.45,17
2019,August,37 St & 24 Ave,881.84,15
2019,August,39 St & 2 Ave - Citi Bike HQ at Industry City,1844.43,31
2019,August,4 Ave & 9 St,1083.65,18
2019,August,40 Ave & 9 St,1087.82,18
2019,August,40 Ave & Crescent St,953.15,16
2019,August,43 St & Broadway,1672.44,28
2019,August,44 Dr & 21 St,860.28,14
2019,August,44 Dr & Jackson Ave,890.75,15
2019,August,45 Rd & 11 St,1413.97,24
2019,August,46 Ave & 5 St,748.36,12
2019,August,47 Ave & 31 St,1232.2,21
2019,August,47 Ave & Skillman Ave,754.97,13
2019,August,48 Ave & 30 Pl,1155.76,19
2019,August,48 Ave & 5 St,980.05,16
2019,August,49 Ave & 21 St,1025.11,17
2019,August,5 Ave & 3 St,838.89,14
2019,August,5 Ave & E 103 St,1267.6,21
2019,August,5 Ave & E 126 St,1450.7,24
2019,August,5 Ave & E 29 St,812.43,14
2019,August,5 Ave & E 63 St,1687.92,28
2019,August,5 Ave & E 73 St,1650.66,28
2019,August,5 Ave & E 78 St,1794.28,30
2019,August,5 Ave & E 88 St,1634.78,27
2019,August,5 Ave & E 93 St,1484.41,25
2019,August,5 St & 51 Ave,907.62,15
2019,August,5 St & 6 Ave,760.23,13
2019,August,5 St & Market St,1053.8,18
2019,August,6 Ave & 12 St,935.65,16
2019,August,6 Ave & 9 St,985.85,16
2019,August,6 Ave & Broome St,870.5,15
2019,August,6 Ave & Canal St,907.81,15
2019,August,6 Ave & W 33 St,830.16,14
2019,August,6 Ave & W 34 St,1325.23,22
2019,August,6 St & 7 Ave,716.2,12
2019,August,7 Ave & Central Park South,1537.42,26
2019,August,7 Ave & Park Pl,695.01,12
2019,August,7 St & 3 Ave,919.7,15
2019,August,7 St & 5 Ave,880.99,15
2019,August,8 Ave & W 31 St,834.49,14
2019,August,8 Ave & W 33 St,1219.64,20
2019,August,8 Ave & W 52 St,973.03,16
2019,August,9 Ave & W 18 St,1267.94,21
2019,August,9 Ave & W 22 St,815.13,14
2019,August,9 Ave & W 28 St,901.45,15
2019,August,9 Ave & W 45 St,940.57,16
2019,August,9 St & 44 Rd,1045.82,17
2019,August,Adam Clayton Powell Blvd & W 115 St,4298.56,72
2019,August,Adam Clayton Powell Blvd & W 118 St,1919.22,32
2019,August,Adam Clayton Powell Blvd & W 123 St,2316.82,39
2019,August,Adam Clayton Powell Blvd & W 126 St,7278.71,121
2019,August,Adelphi St & Myrtle Ave,697.83,12
2019,August,Albany Ave & Fulton St,3029.85,50
2019,August,Allen St & Hester St,813.45,14
2019,August,Allen St & Rivington St,847.69,14
2019,August,Allen St & Stanton St,799.82,13
2019,August,Amsterdam Ave & W 119 St,983.44,16
2019,August,Amsterdam Ave & W 125 St,1929.27,32
2019,August,Amsterdam Ave & W 66 St,1054.25,18
2019,August,Amsterdam Ave & W 73 St,851.39,14
2019,August,Amsterdam Ave & W 79 St,1633.99,27
2019,August,Amsterdam Ave & W 82 St,917.04,15
2019,August,Astoria Park S & Shore Blvd,950.39,16
2019,August,Atlantic Ave & Fort Greene Pl,1049.66,17
2019,August,Atlantic Ave & Furman St,1269.5,21
2019,August,Avenue C & E 18 St,1074.11,18
2019,August,Avenue D & E 12 St,1238.96,21
2019,August,Avenue D & E 3 St,1262.78,21
2019,August,Avenue D & E 8 St,1040.03,17
2019,August,Baltic St & 5 Ave,847.49,14
2019,August,Bank St & Hudson St,935.78,16
2019,August,Bank St & Washington St,925.47,15
2019,August,Banker St & Meserole Ave,806.55,13
2019,August,Barclay St & Church St,1086.29,18
2019,August,Barrow St & Hudson St,819.38,14
2019,August,Bayard St & Baxter St,892.22,15
2019,August,Bayard St & Leonard St,690.1,12
2019,August,Bedford Ave & Bergen St,999.76,17
2019,August,Bedford Ave & Montgomery St,3345.15,56
2019,August,Bedford Ave & Nassau Ave,868.03,14
2019,August,Bedford Ave & S 9 St,1136.88,19
2019,August,Bergen St & Flatbush Ave,936.86,16
2019,August,Bergen St & Smith St,763.41,13
2019,August,Bergen St & Vanderbilt Ave,960.16,16
2019,August,Berkeley Pl & 6 Ave,905.22,15
2019,August,Berkeley Pl & 7 Ave,1118.51,19
2019,August,Berry St & N 8 St,751.53,13
2019,August,Bialystoker Pl & Delancey St,929.78,15
2019,August,Boerum St & Broadway,776.14,13
2019,August,Bond St & Bergen St,824.86,14
2019,August,Bond St & Fulton St,805.99,13
2019,August,Broad St & Bridge St,1106.44,18
2019,August,Broadway & 12 St,770.78,13
2019,August,Broadway & Battery Pl,1260.08,21
2019,August,Broadway & Berry St,851,14
2019,August,Broadway & E 14 St,735.48,12
2019,August,Broadway & E 22 St,884.52,15
2019,August,Broadway & Moylan Pl,1699.55,28
2019,August,Broadway & Roebling St,930.07,16
2019,August,Broadway & W 122 St,1297.16,22
2019,August,Broadway & W 25 St,1120.94,19
2019,August,Broadway & W 29 St,783.15,13
2019,August,Broadway & W 36 St,836.07,14
2019,August,Broadway & W 37 St,853.57,14
2019,August,Broadway & W 38 St,833.06,14
2019,August,Broadway & W 41 St,814.5,14
2019,August,Broadway & W 49 St,840.72,14
2019,August,Broadway & W 51 St,904.03,15
2019,August,Broadway & W 53 St,852.17,14
2019,August,Broadway & W 56 St,903.12,15
2019,August,Broadway & W 60 St,1142.93,19
2019,August,Broadway & Whipple St,1520.07,25
2019,August,Brooklyn Bridge Park - Pier 2,3042.52,51
2019,August,Bus Slip & State St,1441.6,24
2019,August,Bushwick Ave & McKibbin St,1072.29,18
2019,August,Bushwick Ave & Powers St,939.18,16
2019,August,Bushwick Ave & Stagg St,1657.85,28
2019,August,Butler St & Court St,758.32,13
2019,August,Cadman Plaza E & Johnson St,1144.05,19
2019,August,Cadman Plaza E & Red Cross Pl,1141.84,19
2019,August,Cadman Plaza West & Montague St,774.12,13
2019,August,Cambridge Pl & Gates Ave,854.54,14
2019,August,Canal St & Rutgers St,774.77,13
2019,August,Carlton Ave & Dean St,778.83,13
2019,August,Carlton Ave & Flushing Ave,940.7,16
2019,August,Carlton Ave & Park Ave,702.82,12
2019,August,Carmine St & 6 Ave,810.35,14
2019,August,Carroll St & 5 Ave,846.97,14
2019,August,Carroll St & 6 Ave,710.35,12
2019,August,Carroll St & Bond St,754.25,13
2019,August,Carroll St & Columbia St,746.31,12
2019,August,Carroll St & Franklin Ave,3797.48,63
2019,August,Carroll St & Smith St,706.07,12
2019,August,Carroll St & Washington Ave,1163.72,19
2019,August,Cathedral Pkwy & Broadway,1425.93,24
2019,August,Catherine St & Monroe St,845.83,14
2019,August,Cedar St & Myrtle Ave,1773.86,30
2019,August,Center Blvd & 48 Ave,952.11,16
2019,August,Center Blvd & 51 Ave,1181.55,20
2019,August,Central Ave & Flushing Ave,1677.29,28
2019,August,Central Ave & Starr Street,1538.44,26
2019,August,Central Park North & Adam Clayton Powell Blvd,1607.81,27
2019,August,Central Park S & 6 Ave,1864.79,31
2019,August,Central Park W & W 96 St,2107.15,35
2019,August,Central Park West & W 100 St,1961.43,33
2019,August,Central Park West & W 102 St,1252.39,21
2019,August,Central Park West & W 68 St,1754.48,29
2019,August,Central Park West & W 72 St,1398.35,23
2019,August,Central Park West & W 76 St,1435.86,24
2019,August,Central Park West & W 82 St,1103.37,18
2019,August,Central Park West & W 85 St,1547.53,26
2019,August,Centre St & Chambers St,1390.17,23
2019,August,Centre St & Worth St,1163.89,19
2019,August,Cherry St,1396.6,23
2019,August,Christopher St & Greenwich St,873.04,15
2019,August,Clark St & Henry St,696.07,12
2019,August,Classon Ave & St Marks Ave,836.1,14
2019,August,Clermont Ave & Lafayette Ave,753.51,13
2019,August,Clermont Ave & Park Ave,682.97,11
2019,August,Cleveland Pl & Spring St,1113.41,19
2019,August,Cliff St & Fulton St,979.91,16
2019,August,Clinton Ave & Flushing Ave,1024.5,17
2019,August,Clinton Ave & Myrtle Ave,2271.42,38
2019,August,Clinton St & 4 Place,1227.99,20
2019,August,Clinton St & Centre St,895.25,15
2019,August,Clinton St & Grand St,837.11,14
2019,August,Clinton St & Joralemon St,747.38,12
2019,August,Clinton St & Union St,676.9,11
2019,August,Coffey St & Conover St,1133.74,19
2019,August,Columbia Heights & Cranberry St,1098.96,18
2019,August,Columbia St & Degraw St,920.19,15
2019,August,Columbia St & Kane St,1024.31,17
2019,August,Columbia St & Lorraine St,1403.09,23
2019,August,Columbia St & Rivington St,850.78,14
2019,August,Columbia St & W 9 St,787.97,13
2019,August,Columbus Ave & W 103 St,1024.61,17
2019,August,Columbus Ave & W 72 St,913.98,15
2019,August,Columbus Ave & W 95 St,992.1,17
2019,August,Commerce St & Van Brunt St,875.73,15
2019,August,Concord St & Bridge St,1018.88,17
2019,August,Congress St & Clinton St,714.01,12
2019,August,Cooper Square & Astor Pl,1096.57,18
2019,August,Court St & Nelson St,866.29,14
2019,August,Court St & State St,716.98,12
2019,August,Crescent St & 30 Ave,1616.62,27
2019,August,Crescent St & 34 Ave,1123.1,19
2019,August,Crescent St & 35 Ave,884.93,15
2019,August,Crescent St & Broadway,829.06,14
2019,August,Crescent St & Ditmars Blvd,735.24,12
2019,August,Cumberland St & Lafayette Ave,775.05,13
2019,August,DeKalb Ave & Franklin Ave,893.35,15
2019,August,DeKalb Ave & Hudson Ave,724.15,12
2019,August,DeKalb Ave & S Portland Ave,775.73,13
2019,August,DeKalb Ave & Vanderbilt Ave,822.36,14
2019,August,Dean St & 4 Ave,670.98,11
2019,August,Dean St & Franklin Ave,877.1,15
2019,August,Dean St & Hoyt St,821.87,14
2019,August,Degraw St & Hoyt St,730.23,12
2019,August,Degraw St & Smith St,760.33,13
2019,August,Devoe St & Lorimer St,742.22,12
2019,August,Devoe St & Morgan Ave,884.64,15
2019,August,Ditmars Blvd & 19 St,1132.73,19
2019,August,Division Av & Hooper St,1095.64,18
2019,August,Division Ave & Marcy Ave,875.88,15
2019,August,Division St & Bowery,903.4,15
2019,August,Dock 72 Way & Market St,833.52,14
2019,August,Douglass St & 3 Ave,738.52,12
2019,August,Douglass St & 4 Ave,806.42,13
2019,August,Driggs Ave & Lorimer St,710.58,12
2019,August,Driggs Ave & N 9 St,720.81,12
2019,August,Driggs Ave & N Henry St,765.72,13
2019,August,Duane St & Greenwich St,887.49,15
2019,August,Duffield St & Willoughby St,850.68,14
2019,August,Dwight St & Van Dyke St,1103.98,18
2019,August,E 10 St & 5 Ave,773.68,13
2019,August,E 10 St & Avenue A,911.49,15
2019,August,E 102 St & 1 Ave,1749.27,29
2019,August,E 102 St & Park Ave,1106.37,18
2019,August,E 103 St & Lexington Ave,1105.35,18
2019,August,E 106 St & 1 Ave,2431.38,41
2019,August,E 106 St & Lexington Ave,1047.44,17
2019,August,E 106 St & Madison Ave,1306.03,22
2019,August,E 109 St & 3 Ave,832.17,14
2019,August,E 11 St & 1 Ave,785.63,13
2019,August,E 11 St & 2 Ave,946.3,16
2019,August,E 11 St & Avenue B,799.03,13
2019,August,E 110 St & Madison Ave,1676.71,28
2019,August,E 114 St & 1 Ave,1525.93,25
2019,August,E 115 St & Lexington Ave,972.18,16
2019,August,E 115 St & Madison Ave,953.5,16
2019,August,E 116 St & 2 Ave,940.66,16
2019,August,E 118 St & 1 Ave,966.09,16
2019,August,E 118 St & 3 Ave,1015.5,17
2019,August,E 118 St & Madison Ave,904.22,15
2019,August,E 118 St & Park Ave,984.27,16
2019,August,E 12 St & 3 Ave,745.38,12
2019,August,E 12 St & 4 Av,749.32,12
2019,August,E 123 St & Lexington Ave,1015.33,17
2019,August,E 128 St & Madison Ave,1974.52,33
