Start Station,Average Trip Duration,Trip rounded to min
1 Ave & E 110 St,1102.49,18
1 Ave & E 16 St,839.39,14
1 Ave & E 18 St,843.45,14
1 Ave & E 30 St,976.55,16
1 Ave & E 39 St,992.37,17
1 Ave & E 44 St,1215.62,20
1 Ave & E 5 St,1159.89,19
1 Ave & E 62 St,1035.68,17
1 Ave & E 68 St,999.86,17
1 Ave & E 78 St,1030.25,17
1 Ave & E 94 St,1126.32,19
1 Pl & Clinton St,1134.55,19
10 Ave & W 28 St,961.81,16
10 Hudson Yards,878.93,15
10 St & 2 Ave,1193.31,20
10 St & 5 Ave,1198.91,20
10 St & 7 Ave,1014.41,17
11 Ave & W 27 St,1061.61,18
11 Ave & W 41 St,1111.2,19
11 Ave & W 59 St,1181.45,20
11 St & 35 Ave,1010.07,17
11 St & 43 Ave,1387.6,23
12 Ave & W 125 St,2165.29,36
12 Ave & W 40 St,1477.69,25
12 St & 4 Ave,1586.54,26
14 St & 5 Ave,1217.49,20
14 St & 7 Ave,1154.61,19
19 St & 24 Ave,1116.78,19
2 Ave & 36 St,2162.78,36
2 Ave & 36 St - Citi Bike HQ at Industry City,1681.49,28
2 Ave & E 104 St,1197.45,20
2 Ave & E 122 St,1714.43,29
2 Ave & E 125 St,1605.86,27
2 Ave & E 31 St,1030.39,17
2 Ave & E 72 St,1059.42,18
2 Ave & E 96 St,1068.33,18
2 Ave & E 99 St,1066.31,18
21 St & 31 Dr,1074.58,18
21 St & 36 Ave,1311.88,22
21 St & 38 Ave,1469.76,24
21 St & 43 Ave,1019.72,17
21 St & Hoyt Ave S,1880.08,31
21 St & Queens Plaza North,1207.64,20
23 Ave & 27 St,1281.4,21
24 Ave & 26 St,1166.17,19
24 Ave & 29 St,1237.02,21
24 St & 41 Ave,1868.31,31
27 Ave & 3 St,2747.89,46
27 Ave & 4 St,954.5,16
27 Ave & 9 St,1124.57,19
27 St & Hunter St,1289.16,21
28 Ave & 35 St,976.83,16
28 Ave & 44 St,1542.38,26
28 St & 36 Ave,1276.25,21
28 St & 38 Ave,769.24,13
28 St & 41 Ave,1140.65,19
3 Ave & 14 St,1352.62,23
3 Ave & Carroll St,965.04,16
3 Ave & E 100 St,1356.68,23
3 Ave & E 112 St,1730.45,29
3 Ave & E 163 St,1294.92,22
3 Ave & E 169 St,5165.79,86
3 Ave & E 170 St,2514.5,42
3 Ave & E 172 St,9841.02,164
3 Ave & E 174 St,2059.14,34
3 Ave & E 62 St,999.33,17
3 Ave & E 71 St,1055.27,18
3 Ave & E 72 St,1190.96,20
3 Ave & E 95 St,788.4,13
3 Ave & Franklin Ave,2307.98,38
3 Ave & Schermerhorn St,1084.25,18
3 St & 3 Ave,899.67,15
3 St & 7 Ave,1140.75,19
3 St & Hoyt St,868.08,14
3 St & Prospect Park West,1372.07,23
30 Ave & 21 St,919.41,15
31 Ave & 14 St,928.57,15
31 Ave & 30 St,1298.69,22
31 Ave & 34 St,956.11,16
31 Ave & Crescent St,895.92,15
31 Ave & Steinway St,1059.92,18
31 St & 23 Ave,987.27,16
31 St & Astoria Blvd,887.36,15
31 St & Broadway,838.66,14
31 St & Hoyt Ave N,1348.38,22
31 St & Newtown Ave,746.67,12
31 St & Northern Blvd,1318.23,22
31 St & Thomson Ave,1424.29,24
34 Ave & 13 St,1549.25,26
34 Ave & 21 St,966.29,16
34 Ave & 38 St,1041.51,17
34 St & 35 Ave,894.11,15
35 Ave & 10 St,1022.58,17
35 Ave & 37 St,1073.89,18
35 St & 34 Ave,992.71,17
35 St & Broadway,970.12,16
36 Ave & 10 St,1041.39,17
36 Ave & 31 St,929.54,15
37 Ave & 35 St,1640.92,27
37 St & 24 Ave,1309.03,22
38 Ave & 29 St,1190.02,20
39 St & 2 Ave,3075.65,51
39 St & 2 Ave - Citi Bike HQ at Industry City,1757.43,29
4 Ave & 9 St,1087.42,18
4 Ave & E 12 St,1028.73,17
40 Ave & 9 St,1183.87,20
40 Ave & Crescent St,999.28,17
43 St & Broadway,1256.38,21
44 Dr & 21 St,952.96,16
44 Dr & Jackson Ave,1298.48,22
45 Rd & 11 St,1103.06,18
46 Ave & 5 St,1152.82,19
47 Ave & 31 St,1505.16,25
47 Ave & Skillman Ave,927.66,15
48 Ave & 30 Pl,1604.14,27
48 Ave & 5 St,1290.93,22
49 Ave & 21 St,1294.76,22
5 Av & W 139 St,1099.65,18
5 Ave & 3 St,997.42,17
5 Ave & E 103 St,1405.79,23
5 Ave & E 126 St,2104.47,35
5 Ave & E 135 St,1369,23
5 Ave & E 29 St,1038.75,17
5 Ave & E 63 St,1744.3,29
5 Ave & E 73 St,1407.62,23
5 Ave & E 78 St,1596.78,27
5 Ave & E 88 St,1599.2,27
5 Ave & E 93 St,1520.42,25
5 Ave & W 131 St,1514.79,25
5 St & 51 Ave,1404.95,23
5 St & 6 Ave,925.01,15
5 St & Market St,949.46,16
6 Ave & 12 St,1188.87,20
6 Ave & 9 St,894.67,15
6 Ave & Broome St,1029.41,17
6 Ave & Canal St,1071.88,18
6 Ave & W 33 St,972.44,16
6 Ave & W 34 St,1247.96,21
6 St & 7 Ave,944.47,16
7 Ave & Central Park South,1489.1,25
7 Ave & Park Pl,797.94,13
7 St & 3 Ave,1052.48,18
7 St & 5 Ave,1053.51,18
8 Ave & W 16 St,795.86,13
8 Ave & W 31 St,865.47,14
8 Ave & W 33 St,1086.15,18
8 Ave & W 38 St,1304.78,22
8 Ave & W 52 St,1099.23,18
9 Ave & W 18 St,1050.29,18
9 Ave & W 22 St,912.77,15
9 Ave & W 28 St,889.7,15
9 Ave & W 45 St,1118.27,19
9 St & 44 Rd,1370.23,23
Adam Clayton Powell Blvd & W 115 St,1681.24,28
Adam Clayton Powell Blvd & W 118 St,1590.49,27
Adam Clayton Powell Blvd & W 123 St,2095.46,35
Adam Clayton Powell Blvd & W 126 St,3134.33,52
