Rider Gender,Rider Age,User Type,Total Riders
Female,16,Customer,1757
Female,16,Subscriber,906
Female,17,Customer,3568
Female,17,Subscriber,2566
Female,18,Customer,8677
Female,18,Subscriber,6856
Female,19,Customer,15238
Female,19,Subscriber,12399
Female,20,Customer,18962
Female,20,Subscriber,19949
Female,21,Customer,21027
Female,21,Subscriber,24137
Female,22,Customer,28282
Female,22,Subscriber,36801
Female,23,Customer,39996
Female,23,Subscriber,68109
Female,24,Customer,47085
Female,24,Subscriber,102852
Female,25,Customer,48946
Female,25,Subscriber,127698
Female,26,Customer,45535
Female,26,Subscriber,141007
Female,27,Customer,42789
Female,27,Subscriber,149292
Female,28,Customer,40200
Female,28,Subscriber,161130
Female,29,Customer,37459
Female,29,Subscriber,156298
Female,30,Customer,53656
Female,30,Subscriber,159442
Female,31,Customer,32029
Female,31,Subscriber,144654
Female,32,Customer,26890
Female,32,Subscriber,136021
Female,33,Customer,21534
Female,33,Subscriber,116601
Female,34,Customer,17351
Female,34,Subscriber,105219
Female,35,Customer,15201
Female,35,Subscriber,97669
Female,36,Customer,12764
Female,36,Subscriber,82934
Female,37,Customer,11883
Female,37,Subscriber,76999
Female,38,Customer,9697
Female,38,Subscriber,74124
Female,39,Customer,8259
Female,39,Subscriber,65768
Female,40,Customer,8334
Female,40,Subscriber,56624
Female,41,Customer,6179
Female,41,Subscriber,50206
Female,42,Customer,6687
Female,42,Subscriber,47808
Female,43,Customer,5601
Female,43,Subscriber,49599
Female,44,Customer,5180
Female,44,Subscriber,48936
Female,45,Customer,4756
Female,45,Subscriber,45999
Female,46,Customer,4420
Female,46,Subscriber,48002
Female,47,Customer,4004
Female,47,Subscriber,45257
Female,48,Customer,4107
Female,48,Subscriber,44112
Female,49,Customer,3612
Female,49,Subscriber,48368
Female,50,Customer,4276
Female,50,Subscriber,47148
Female,51,Customer,3841
Female,51,Subscriber,44988
Female,52,Customer,3410
Female,52,Subscriber,42880
Female,53,Customer,3154
Female,53,Subscriber,41347
Female,54,Customer,2972
Female,54,Subscriber,41364
Female,55,Customer,3262
Female,55,Subscriber,38923
Female,56,Customer,2683
Female,56,Subscriber,33326
Female,57,Customer,2145
Female,57,Subscriber,39617
Female,58,Customer,1549
Female,58,Subscriber,32679
Female,59,Customer,1690
Female,59,Subscriber,27849
Female,60,Customer,1531
Female,60,Subscriber,27490
Female,61,Customer,1016
Female,61,Subscriber,23205
Female,62,Customer,975
Female,62,Subscriber,20320
Female,63,Customer,650
Female,63,Subscriber,18856
Female,64,Customer,670
Female,64,Subscriber,13762
Female,65,Customer,464
Female,65,Subscriber,13380
Female,66,Customer,337
Female,66,Subscriber,10107
Female,67,Customer,211
Female,67,Subscriber,6263
Female,68,Customer,266
Female,68,Subscriber,4546
Female,69,Customer,360
Female,69,Subscriber,5469
Female,70,Customer,202
Female,70,Subscriber,5864
Female,71,Customer,121
Female,71,Subscriber,4377
Female,72,Customer,46
Female,72,Subscriber,3797
Female,73,Customer,120
Female,73,Subscriber,3711
Female,74,Customer,24
Female,74,Subscriber,1803
Female,75,Customer,23
Female,75,Subscriber,1264
Female,76,Customer,79
Female,76,Subscriber,1570
Female,77,Customer,11
Female,77,Subscriber,1074
Female,78,Customer,11
Female,78,Subscriber,799
Female,79,Customer,12
Female,79,Subscriber,1127
Female,80,Customer,6
Female,80,Subscriber,1138
Female,81,Customer,6
Female,81,Subscriber,159
Female,82,Customer,5
Female,82,Subscriber,2532
Female,83,Customer,17
Female,83,Subscriber,589
Female,84,Customer,3
Female,84,Subscriber,587
Female,85,Customer,1
Female,85,Subscriber,328
Female,86,Customer,4
Female,86,Subscriber,430
Female,87,Customer,15
Female,87,Subscriber,555
Female,88,Customer,10
Female,88,Subscriber,358
Female,89,Subscriber,166
Female,90,Subscriber,125
Female,91,Subscriber,144
Female,92,Subscriber,46
Female,93,Subscriber,3
Female,97,Subscriber,150
Female,98,Subscriber,159
Female,99,Customer,1
Female,99,Subscriber,143
Female,100,Customer,1
Female,100,Subscriber,45
Female,101,Customer,2
Female,101,Subscriber,18
Female,102,Subscriber,35
Female,103,Subscriber,1
Female,106,Customer,1
Female,108,Subscriber,65
Female,109,Subscriber,17
Female,110,Customer,1
Female,113,Customer,4
Female,118,Subscriber,62
Female,119,Customer,7
Female,119,Subscriber,91
Female,120,Subscriber,218
Female,121,Subscriber,42
Female,122,Customer,2
Female,123,Subscriber,17
Female,124,Customer,1
Female,124,Subscriber,91
Female,126,Customer,6
Female,126,Subscriber,104
Female,127,Subscriber,9
Female,129,Subscriber,223
Female,130,Customer,1
Female,130,Subscriber,409
Female,131,Subscriber,38
Female,132,Subscriber,58
Male,16,Customer,2834
Male,16,Subscriber,4487
Male,17,Customer,7502
Male,17,Subscriber,12377
Male,18,Customer,18256
Male,18,Subscriber,26059
Male,19,Customer,30230
Male,19,Subscriber,47887
Male,20,Customer,35708
Male,20,Subscriber,64278
Male,21,Customer,35621
Male,21,Subscriber,61173
Male,22,Customer,42221
Male,22,Subscriber,82001
Male,23,Customer,54050
Male,23,Subscriber,124203
Male,24,Customer,64894
Male,24,Subscriber,196539
Male,25,Customer,65698
Male,25,Subscriber,248579
Male,26,Customer,63228
Male,26,Subscriber,276688
Male,27,Customer,59740
Male,27,Subscriber,298709
Male,28,Customer,58438
